original,year,events
2002: Test administered to 10th graders (class of 2004) who did not take or pass the CAHSEE in 2001. Senate Bill 1476 moved to the local level the waiver process for students using modifications.,2002,Test administered to 10th graders (class of 2004) who did not take or pass the CAHSEE in 2001. Senate Bill 1476 moved to the local level the waiver process for students using modifications.
"2002: API added California Standards Tests in math and history–social science, as well as the California High School Exit Exam, to base. 53 percent of schools met their growth targets. 20 percent of schools at or above the API target of 800.",2002,"API added California Standards Tests in math and history–social science, as well as the California High School Exit Exam, to base. 53 percent of schools met their growth targets. 20 percent of schools at or above the API target of 800."
"2002: President George W. Bush signed NCLB into law January 8, 2002. Base year for NCLB's Adequate Yearly Progress (AYP) in math and English– language arts (ELA).",2002,"President George W. Bush signed NCLB into law January 8, 2002. Base year for NCLB's Adequate Yearly Progress (AYP) in math and English– language arts (ELA)."
"2002: SBE adopted standards-aligned instructional materials for RLA and English-language development. Science framework adopted. LEAs provided $378.3 million from Instructional Materials Funding Realignment Program, one-time instructional materials funds, and Proposition 20 Lottery funds.",2002,"SBE adopted standards-aligned instructional materials for RLA and English-language development. Science framework adopted. LEAs provided $378.3 million from Instructional Materials Funding Realignment Program, one-time instructional materials funds, and Proposition 20 Lottery funds."
2002: California Reading First plan approved by the U.S. Department of Education; intended to ensure that all students can read by the end of the 3rd grade. AB 466 teacher training and AB 75 administrator training continued. California Subject Matter Project continued. BTSA continued. Federally funded California Math and Science Partnership Project established.,2002,California Reading First plan approved by the U.S. Department of Education; intended to ensure that all students can read by the end of the 3rd grade. AB 466 teacher training and AB 75 administrator training continued. California Subject Matter Project continued. BTSA continued. Federally funded California Math and Science Partnership Project established.
2002: First cohort of II/USP schools that failed to meet API targets identified to become state-monitored. School Assistance and Intervention Teams (SAITs) assigned to some schools in II/USP to help improve student performance. HPSGP continued.,2002,First cohort of II/USP schools that failed to meet API targets identified to become state-monitored. School Assistance and Intervention Teams (SAITs) assigned to some schools in II/USP to help improve student performance. HPSGP continued.
"2002: K–12 Proposition 98 funding: $39 billion. Funding per student: $6,593. General Fund support for CDE State Operations: $48 million.",2002,"K–12 Proposition 98 funding: $39 billion. Funding per student: $6,593. General Fund support for CDE State Operations: $48 million."
2003: CAT/6 Survey first administered in grades 2–11.,2003,CAT/6 Survey first administered in grades 2–11.
2003: First administration of all California Standards Tests as stand-alone tests. California Standards Test in history–social science moved from grade 9 to grade 8.,2003,First administration of all California Standards Tests as stand-alone tests. California Standards Test in history–social science moved from grade 9 to grade 8.
2003: First administration of the CAPA completed.,2003,First administration of the CAPA completed.
2003: Third annual administration completed. SBE adopted annual AMAO targets for districts and schools.,2003,Third annual administration completed. SBE adopted annual AMAO targets for districts and schools.
2003: First 10th-grade census administration given to class of 2005. SBE postponed CAHSEE requirement to class of 2006. Required assessment of alternatives to CAHSEE requirement for students with disabilities.,2003,First 10th-grade census administration given to class of 2005. SBE postponed CAHSEE requirement to class of 2006. Required assessment of alternatives to CAHSEE requirement for students with disabilities.
2003: Early Assessment Program (EAP) initiated to assess high school students for college readiness in math and reading.,2003,Early Assessment Program (EAP) initiated to assess high school students for college readiness in math and reading.
"2003: Changed NRT to California Achievement Tests, Sixth Edition, and added the California Alternate Performance Assessment (CAPA) and California Standards Test in science, grades 9–11, to API base. 90 percent of schools had an increased schoolwide API between 2002 and 2003. 76 percent of schools met their growth targets. 21 percent of schools at or above the API target of 800.",2003,"Changed NRT to California Achievement Tests, Sixth Edition, and added the California Alternate Performance Assessment (CAPA) and California Standards Test in science, grades 9–11, to API base. 90 percent of schools had an increased schoolwide API between 2002 and 2003. 76 percent of schools met their growth targets. 21 percent of schools at or above the API target of 800."
"2003: Results of California Standards Tests in math and ELA, and the California Alternate Performance Assessment (CAPA), used for reporting AYP, for NCLB requirements.",2003,"Results of California Standards Tests in math and ELA, and the California Alternate Performance Assessment (CAPA), used for reporting AYP, for NCLB requirements."
2003: SBE adopted standards-aligned instructional materials for foreign language; $246.9 million provided to purchase materials.,2003,SBE adopted standards-aligned instructional materials for foreign language; $246.9 million provided to purchase materials.
2003: Reading First implementation continues. Professional development block grants provide local education agencies flexibility in offering professional development programs.,2003,Reading First implementation continues. Professional development block grants provide local education agencies flexibility in offering professional development programs.
2003: Second cohort of II/USP schools that failed to meet API targets became state-monitored. SAITs assigned to some schools in II/USP. HPSGP continued.,2003,Second cohort of II/USP schools that failed to meet API targets became state-monitored. SAITs assigned to some schools in II/USP. HPSGP continued.
"2003: K–12 Proposition 98 funding: $42 billion. Funding per student: $7,023. General Fund support for CDE State Operations: $39 million.",2003,"K–12 Proposition 98 funding: $42 billion. Funding per student: $7,023. General Fund support for CDE State Operations: $39 million."
2004: Reauthorized STAR program (SB 1448).,2004,Reauthorized STAR program (SB 1448).
2004: First administration of California Standards Test in grade 5 science completed.,2004,First administration of California Standards Test in grade 5 science completed.
2004: Fourth annual administration completed.,2004,Fourth annual administration completed.
2004: Test as 10th-grade census administration given to students in class of 2006.,2004,Test as 10th-grade census administration given to students in class of 2006.
2004: Nearly 40 percent of 11th-grade students participated in EAP.,2004,Nearly 40 percent of 11th-grade students participated in EAP.
"2004: Added California Standards Test in science, grade 5, and California Standards Test in history–social science, grade 8, to API base. 62 percent of schools made progress, and 48 percent of California schools met their growth targets. 23 percent of schools at or above the API target of 800.",2004,"Added California Standards Test in science, grade 5, and California Standards Test in history–social science, grade 8, to API base. 62 percent of schools made progress, and 48 percent of California schools met their growth targets. 23 percent of schools at or above the API target of 800."
2004: State Board of Education (SBE) authorized development of science tests in grades 8 and 10 for NCLB requirements. SBE adopted Program Improvement (PI) criteria for local educational agencies (LEAs). 65 percent of all schools made AYP.,2004,State Board of Education (SBE) authorized development of science tests in grades 8 and 10 for NCLB requirements. SBE adopted Program Improvement (PI) criteria for local educational agencies (LEAs). 65 percent of all schools made AYP.
2004: SBE adopted standards-aligned instructional materials for health; $446.8 million provided to purchase materials. Visual and performing arts framework adopted.,2004,SBE adopted standards-aligned instructional materials for health; $446.8 million provided to purchase materials. Visual and performing arts framework adopted.
2004: Reading First implementation continued. Professional development block grants provided local educational agencies (LEAs) with flexibility in offering professional development programs. AB 466 teacher training and AB 75 administrator training continued. California Subject Matter Project continued. BTSA continued. California Math and Science Partnership Project continued.,2004,Reading First implementation continued. Professional development block grants provided local educational agencies (LEAs) with flexibility in offering professional development programs. AB 466 teacher training and AB 75 administrator training continued. California Subject Matter Project continued. BTSA continued. California Math and Science Partnership Project continued.
2004: Third cohort of II/USP schools that failed to meet API targets became state-monitored. SAITs assigned to some schools in II/USP. HPSGP continued.,2004,Third cohort of II/USP schools that failed to meet API targets became state-monitored. SAITs assigned to some schools in II/USP. HPSGP continued.
2004: Instituted three tiers of reduced funding for the Class-Size Reduction (CSR) program—classes in excess of 20:1 but less than 21.9:1.,2004,Instituted three tiers of reduced funding for the Class-Size Reduction (CSR) program—classes in excess of 20:1 but less than 21.9:1.
"2004: K–12 Proposition 98 funding: $42 billion. Funding per student: $7,047. General Fund support for CDE State Operations: $42 million.",2004,"K–12 Proposition 98 funding: $42 billion. Funding per student: $7,047. General Fund support for CDE State Operations: $42 million."
2005: CAT/6 testing reduced to grades 3 and 7 only.,2005,CAT/6 testing reduced to grades 3 and 7 only.
2005: California Standards Tests in science field-tested for grades 8 and 10.,2005,California Standards Tests in science field-tested for grades 8 and 10.
"2005: CAPA science tasks field-tested for grades 5, 8, and 10.",2005,"CAPA science tasks field-tested for grades 5, 8, and 10."
2005: Aprenda 3 designated as the primary language test to replace SABE/2. SBE approved Standards- based Test in Spanish (STS) blueprints in reading/ language arts (RLA) and mathematics for grades 2–4.,2005,Aprenda 3 designated as the primary language test to replace SABE/2. SBE approved Standards- based Test in Spanish (STS) blueprints in reading/ language arts (RLA) and mathematics for grades 2–4.
2005: Fifth annual administration completed.,2005,Fifth annual administration completed.
2005: 46 percent of students taking grade 11 California Standards Test in English– Language Arts (CST ELA) participated in EAP English. 67 percent of students taking Summative High School Mathematics or Algebra II in grade 11 participated in EAP math.,2005,46 percent of students taking grade 11 California Standards Test in English– Language Arts (CST ELA) participated in EAP English. 67 percent of students taking Summative High School Mathematics or Algebra II in grade 11 participated in EAP math.
"2005: Added English learners and students with disabilities as subgroups; added five new demographics characteristics for similar-schools ranks to API base. 83 percent of schools increased schoolwide API, and 68 percent of schools met all of their growth targets. 27 percent of schools at or above the API target of 800.",2005,"Added English learners and students with disabilities as subgroups; added five new demographics characteristics for similar-schools ranks to API base. 83 percent of schools increased schoolwide API, and 68 percent of schools met all of their growth targets. 27 percent of schools at or above the API target of 800."
2005: AYP targets increased for all schools and districts. PI identification criteria revised for districts. 65 percent of all schools and 60 percent of all districts made AYP.,2005,AYP targets increased for all schools and districts. PI identification criteria revised for districts. 65 percent of all schools and 60 percent of all districts made AYP.
2005: Mathematics framework approved. Physical education standards approved. History–social science adoption of instructional materials. Career technical education standards approved. The Instructional Materials Online Distribution System (IMODS) was deployed on the CDE Web site so educators can order and download books online.,2005,Mathematics framework approved. Physical education standards approved. History–social science adoption of instructional materials. Career technical education standards approved. The Instructional Materials Online Distribution System (IMODS) was deployed on the CDE Web site so educators can order and download books online.
2005: AB 430 reauthorized the Administrator Training Program for an additional 6 years. Reading First program continued. AB 466 teacher training continued. California Subject Matter Project continued. BTSA continued. California Math and Science Partnership Project continued.,2005,AB 430 reauthorized the Administrator Training Program for an additional 6 years. Reading First program continued. AB 466 teacher training continued. California Subject Matter Project continued. BTSA continued. California Math and Science Partnership Project continued.
2005: Fourth cohort of II/USP schools that failed to meet API targets became state-monitored. SAITs assigned to some schools in II/USP. HPSGP continued. First cohort of districts not meeting federal student achievement targets entered Program Improvement (PI) Year 1.CDE provided federal grants for local educational agencies (LEAs) to contract for technical assistance to improve student achievement.,2005,Fourth cohort of II/USP schools that failed to meet API targets became state-monitored. SAITs assigned to some schools in II/USP. HPSGP continued. First cohort of districts not meeting federal student achievement targets entered Program Improvement (PI) Year 1.CDE provided federal grants for local educational agencies (LEAs) to contract for technical assistance to improve student achievement.
"2005: K–12 Proposition 98 funding: $47 billion. Funding per student: $7,822. General Fund support for CDE State Operations: $49 million.",2005,"K–12 Proposition 98 funding: $47 billion. Funding per student: $7,822. General Fund support for CDE State Operations: $49 million."
2006: California Standards Tests in science added to grades 8 and 10.,2006,California Standards Tests in science added to grades 8 and 10.
2006: SBE approved new CAPA blueprints.,2006,SBE approved new CAPA blueprints.
"2006: SBE approved STS blueprints for RLA and mathematics, grades 5–7.",2006,"SBE approved STS blueprints for RLA and mathematics, grades 5–7."
2006: Sixth annual administration completed. Standard setting was conducted and new Performance Level Cut Scores were set (approved by SBE).,2006,Sixth annual administration completed. Standard setting was conducted and new Performance Level Cut Scores were set (approved by SBE).
2006: SB 517 provided an exemption from the CAHSEE requirement for students with disabilities (class of 2006 students only). July and December administrations added for a total of 7 administrations per school year. AB 1802 allowed CDE to allocate $5.5 million to districts to purchase SBE-approved intervention materials for students who still needed to pass CAHSEE. Over $69 million in CAHSEE Intensive Instruction Services Funding was provided to districts for students in grades 12 and 11 who needed to pass CAHSEE.,2006,SB 517 provided an exemption from the CAHSEE requirement for students with disabilities (class of 2006 students only). July and December administrations added for a total of 7 administrations per school year. AB 1802 allowed CDE to allocate $5.5 million to districts to purchase SBE-approved intervention materials for students who still needed to pass CAHSEE. Over $69 million in CAHSEE Intensive Instruction Services Funding was provided to districts for students in grades 12 and 11 who needed to pass CAHSEE.
2006: 75 percent of students taking grade 11 CST ELA participated in EAP English. 74 percent of students taking Summative High School Mathematics or Algebra II in grade 11participated in EAP math.,2006,75 percent of students taking grade 11 CST ELA participated in EAP English. 74 percent of students taking Summative High School Mathematics or Algebra II in grade 11participated in EAP math.
"2006: Added California Standards Test in science, grades 8 and 10, to API base. Implemented new, more challenging growth targets for subgroups to address narrowing of the achievement gap. 70 percent of schools increased schoolwide API, and 53 percent of schools met all of their growth targets. 30 percent of schools at or above the API target of 800.",2006,"Added California Standards Test in science, grades 8 and 10, to API base. Implemented new, more challenging growth targets for subgroups to address narrowing of the achievement gap. 70 percent of schools increased schoolwide API, and 53 percent of schools met all of their growth targets. 30 percent of schools at or above the API target of 800."
2006: PI identification criteria revised for schools. 66 percent of all schools and 64 percent of all districts made AYP.,2006,PI identification criteria revised for schools. 66 percent of all schools and 64 percent of all districts made AYP.
2006: RLA framework approved. Science adoption of instructional materials.,2006,RLA framework approved. Science adoption of instructional materials.
"2006: SB 472 reauthorized the Mathematics and Reading Professional Development Program for an additional 6 years; also provided an additional $25 million per year to train teachers of English learners on comprehensive strategies for supporting English-language acquisition and development. SB 1209 created the Certified Staff Mentoring Program, providing funding for experienced teachers to support beginning teachers or interns at ""staff priority schools"" to raise student academic achievement. AB 2117 established the English Language Learners Best Practices pilot program to identify existing best practices regarding topics including, but not limited to, curriculum, instruction, and staff development for teaching English learners and for promoting academic English-language acquisition and development. Reading First program continued. California Subject Matter Project continued. BTSA continued.",2006,"SB 472 reauthorized the Mathematics and Reading Professional Development Program for an additional 6 years; also provided an additional $25 million per year to train teachers of English learners on comprehensive strategies for supporting English-language acquisition and development. SB 1209 created the Certified Staff Mentoring Program, providing funding for experienced teachers to support beginning teachers or interns at ""staff priority schools"" to raise student academic achievement. AB 2117 established the English Language Learners Best Practices pilot program to identify existing best practices regarding topics including, but not limited to, curriculum, instruction, and staff development for teaching English learners and for promoting academic English-language acquisition and development. Reading First program continued. California Subject Matter Project continued. BTSA continued."
"2006: Fifth, and final, cohort of II/USP schools that failed to meet API targets became state-monitored. SAITs assigned to some schools in II/USP. HPSGP continued. First cohort of districts not meeting federal student achievement targets advanced to PI Year 2. District Assistance and Intervention Team (DAIT) pilot project funded by CDE, CSSESSA, and the Gates Foundation was established to help improve student performance at LEAs in PI that were nominated by county offices of education.",2006,"Fifth, and final, cohort of II/USP schools that failed to meet API targets became state-monitored. SAITs assigned to some schools in II/USP. HPSGP continued. First cohort of districts not meeting federal student achievement targets advanced to PI Year 2. District Assistance and Intervention Team (DAIT) pilot project funded by CDE, CSSESSA, and the Gates Foundation was established to help improve student performance at LEAs in PI that were nominated by county offices of education."
"2006: K–12 Proposition 98 funding: $49 billion. Funding per student: $8,238. General Fund support for CDE State Operations: $52 million.",2006,"K–12 Proposition 98 funding: $49 billion. Funding per student: $8,238. General Fund support for CDE State Operations: $52 million."
"2007: Standards-based tests in Spanish for reading/language arts and mathematics administered in grades 2–4, replacing Aprenda 3 for those grades as the designated primary language test for the STAR program.",2007,"Standards-based tests in Spanish for reading/language arts and mathematics administered in grades 2–4, replacing Aprenda 3 for those grades as the designated primary language test for the STAR program."
2007: California Standards Test for world history became an end-of-course test in grades 9–11 (previously given only in grade 10).,2007,California Standards Test for world history became an end-of-course test in grades 9–11 (previously given only in grade 10).
"2007: The State Board of Education (SBE) adopted the California Modified Assessment (CMA) participation criteria for students with an Individualized Education Program. SBE adopted CMA blueprints that align with California grade-level content standards for grades 3–8 in English–language arts (ELA), including a writing test for grades 4 and 7; grades 3–7 in mathematics; and grades 5 and 8 in science.",2007,"The State Board of Education (SBE) adopted the California Modified Assessment (CMA) participation criteria for students with an Individualized Education Program. SBE adopted CMA blueprints that align with California grade-level content standards for grades 3–8 in English–language arts (ELA), including a writing test for grades 4 and 7; grades 3–7 in mathematics; and grades 5 and 8 in science."
"2007: STS first administered in grades 2–4. Aprenda 3 administered in grades 5–11. SBE approved blueprints for RLA and mathematics for grades 8–11, and for Algebra I and geometry.",2007,"STS first administered in grades 2–4. Aprenda 3 administered in grades 5–11. SBE approved blueprints for RLA and mathematics for grades 8–11, and for Algebra I and geometry."
"2007: Seventh annual administration completed. AMAO targets were reset based on changes to CELDT Cut Scores. SB 80 mandated that an early literacy assessment results report be completed by January 2, 2013.",2007,"Seventh annual administration completed. AMAO targets were reset based on changes to CELDT Cut Scores. SB 80 mandated that an early literacy assessment results report be completed by January 2, 2013."
